n,k,mu1,ARL_theoretical,ARL_simulated,difference,relative_error
3,0,1.5,370.3703704,372.4429,2.07252963,0.559583
3,0.5,1.575,60.68443969,61.317,0.632560305,1.042376445
3,1,1.65,9.76435988,9.7611,0.00325988,0.033385501
3,1.5,1.725,2.908003551,2.863,0.045003551,1.547575522
3,2,1.8,1.473359952,1.4787,0.005340048,0.362440134
3,2.5,1.875,1.100999559,1.0991,0.001899559,0.172530414
5,0,1.5,370.3703704,376.6112,6.24082963,1.685024
5,0.5,1.575,33.3990346,33.5784,0.1793654,0.537037679
5,1,1.65,4.495173691,4.4624,0.032773691,0.729086202
5,1.5,1.725,1.566471528,1.5693,0.002828472,0.180563277
5,2,1.8,1.075834473,1.0767,0.000865527,0.08045172
5,2.5,1.875,1.004819221,1.0056,0.000780779,0.077703428
10,0,1.5,370.3703704,372.6172,2.24682963,0.606644
10,0.5,1.575,12.82455512,12.9467,0.122144885,0.9524298
10,1,1.65,1.771587596,1.7703,0.001287596,0.072680357
10,1.5,1.725,1.042349011,1.0454,0.003050989,0.292703194
10,2,1.8,1.000442958,1.0002,0.000242958,0.024285033
10,2.5,1.875,1.000000465,1,4.65E-07,4.65E-05
15,0,1.5,370.3703704,367.5464,2.82397037,0.762472
15,0.5,1.575,6.955004589,7.0355,0.080495411,1.157373947
15,1,1.65,1.236598071,1.2342,0.002398071,0.193924821
15,1.5,1.725,1.002487112,1.0029,0.000412888,0.04118641
15,2,1.8,1.000001037,1,1.04E-06,0.000103745
15,2.5,1.875,1,1,1.17E-11,1.17E-09
20,0,1.5,370.3703704,367.2021,3.16827037,0.855433
20,0.5,1.575,4.495173691,4.4816,0.013573691,0.301961438
20,1,1.65,1.075834473,1.0755,0.000334473,0.031089602
20,1.5,1.725,1.000104369,1,0.000104369,0.010435778
20,2,1.8,1.000000001,1,1.39E-09,1.39E-07
20,2.5,1.875,1,1,2.22E-16,2.22E-14
